"Question","Intent","Entity"
"숲","greeting:0.43926312023097563","brand:숲"
"핑크","greeting:0.43926312023097563","generic_color:분홍색"
"무릎길이","greeting:0.4001710494983028","skirt_length:미디엄"
"봄","greeting:0.3498793485170321","season:봄"
"항아리","greeting:0.43926312023097563",""
"타이트한거","greeting:0.43926312023097563",""
"에이라인","greeting:0.43926312023097563","basic_attribute:A라인,brand:라인"
"에이치라인","greeting:0.449550912530308","brand:라인"
"샤방샤방","greeting:0.43926312023097563",""
"러블리","greeting:0.43926312023097563",""
"핑크핑크","greeting:0.43926312023097563","generic_color:분홍색,generic_color:분홍색"
"여성스러운 스타일","generic_style_recommend:0.933861775948429",""
"안녕","greeting:1",""
"숲","greeting:0.43926312023097563","brand:숲"
"안녕","greeting:1",""
"안녕","greeting:1",""
"스커트 추천해줘","recommend:1","product:스커트"
"H라인 찾는데","recommend:0.6489475425597753","skirt_style:H라인,brand:라인"
"파랑","greeting:0.43926312023097563",""
"미니","greeting:0.45365382967886103","skirt_length:숏"
"파란색","greeting:0.447363686600482","generic_color:파란색"
"숲","greeting:0.43926312023097563","brand:숲"
"봄","greeting:0.3498793485170321","season:봄"
"응","greeting:0.43926312023097563","user_answer:응"
"나는 파란색 미니 스커트 찾아","recommend:0.9961755667118859","generic_color:파란색,skirt_length:숏,product:스커트"
"나는 파란색의 미니 스커트를 원해","recommend:0.6309188315714309","generic_color:파란색,skirt_length:숏,product:스커트"
"숲 제품 있어요","recommend:0.9802508678216515","brand:숲"
"A라인","greeting:0.47012427285338076","basic_attribute:A라인,skirt_style:A라인,brand:라인"
"여룸이죠","greeting:0.39164189967585716",""
"여름이요","greeting:0.43926312023097563","season:여름"
"네","greeting:0.43926312023097563","user_answer:응"
,"",""
"안녕","greeting:1",""
"오늘 꿀꿀해","greeting:0.43926312023097563",""
"꿀꿀해요","recommend:0.3190658170312661",""
"","",""
"안녕","greeting:1",""
"안녕","greeting:1",""
,"",""
"안녕","greeting:1",""
"인기브랜드가 뭐니","query_product:0.49263836032206093",""
"빈폴 있어요?","recommend:0.5471146521545928","brand:빈폴"
"음. 바지요","recommend:0.2946134361853719","product:팬츠"
"아. 스커트만요?","recommend:0.3443478365922665","product:스커트"
"미니스커트","greeting:0.30770081732116933","length:미니,skirt_length:숏,product:스커트"
"미니스커트요","recommend:0.709317987582168","length:미니,skirt_length:숏,product:스커트"
"스커트 있어요?","recommend:0.6208377950939079","product:스커트"
"왜 안돼요?","chit_chat_sorry:0.3795652204496566",""
"안녕","greeting:1",""
"재킷 찾아요","recommend:0.9964145306073043","product:재킷"
"스커트 추천해주게요","recommend:0.9619894608635401","product:스커트"
"귀엽고 발랄한 룩을 추천해줘","recommend:0.8635385976568174",""
"안녕","greeting:1",""
"안녕","greeting:1",""
"스커트 추천해줘","recommend:1","product:스커트"
"봄에 입으려고","greeting:0.15582471676850296","season:봄"
"안녕","greeting:1",""
"팬츠 찾아요","recommend:0.996450535470021","product:팬츠"
"매그제이","recommend:0.39144759668261475","brand:매그제이"
"핑크 청바지 찾아요","recommend:0.999622218855435","generic_color:분홍색"
"안녕","greeting:1",""
"스커트 추천해줘","recommend:1","product:스커트"
"안녕","greeting:1",""
"스커트 추천해줘","recommend:1","product:스커트"
"스커트","recommend:0.26383165828275185","product:스커트"
,"",""
,"",""
"스커트","recommend:0.26345111517512343","product:스커트"
"매그제이","recommend:0.40435202723947944","brand:매그제이"
"파랑","greeting:0.34956519899231536",""
"파란색","greeting:0.36672592322774045","generic_color:파란색"
"에이치라인","recommend:0.3231909259350387","leather_skirt_style:H라인,skirt_style:H라인,brand:라인"
"미니","recommend:1","length:미니,skirt_length:숏"
"봄","recommend:0.3370345236151415","season:봄"
"에이치라인","recommend:0.3231909259350387","leather_skirt_style:H라인,skirt_style:H라인,brand:라인"
"안녕","greeting:1",""
"안녕","greeting:1",""
"청바지","recommend:0.8944260384294807",""
"바지","greeting:0.30457212943851647","product:팬츠"
"안녕","greeting:1",""
"팬츠","greeting:0.3347564104787995","product:팬츠"
"바지","greeting:0.30457212943851647","product:팬츠"
"바지 추천해줘","recommend:1","product:팬츠"
"미쏘","greeting:0.34956519899231536","brand:미쏘"
"분홍색","greeting:0.34905732700944403","generic_color:분홍색"
"여름","greeting:0.34956519899231536","season:여름"
"7부","greeting:0.34956519899231536","length:7부"
"스키니","recommend:0.6379273743039905","pants_style:스키니,leather_pants_style:스키니"
"안녕","greeting:1",""
"안녕","greeting:1",""
"안녕","greeting:1",""
"안녕","greeting:1",""
"스커트","recommend:0.26345111517512343","product:스커트"
"스커트 추천해줘","recommend:1","product:스커트"
"안녕","greeting:1",""
"재킷","greeting:0.32652819205682265","product:재킷"
"재킷 추천해줘","recommend:0.9010104941650111","product:재킷"
,"",""
"재킷 추천해","recommend:0.8131398708764999","product:재킷"
,"",""
"재킷 추천해줘","recommend:0.957251194022746","product:재킷"
"매그제이","recommend:0.5175866421316555","brand:매그제이"
"파랑","recommend:1",""
"파랑","recommend:1",""
,"",""
"나에게 재킷을 추천 해.","recommend:0.5776131566654397","product:재킷"
,"",""
,"",""
"나에게 재킷을 추천 해.","recommend:0.8172846678484605","product:재킷"
,"",""
"나에게 재킷을 추천 해.","recommend:0.811693389983538","product:재킷"
,"",""
"재킷 추천해줘","recommend:0.9904325495293128","product:재킷"
"나에게 재킷을 추천 해.","recommend:0.8237871753900927","product:재킷"
,"",""
"나에게 재킷을 추천 해.","recommend:0.8237871753900927","product:재킷"
"울재킷","recommend:0.8085343536698113","jacket_style:울재킷,product:재킷"
"블루","recommend:0.8068367006570814","generic_color:파란색"
,"",""
"나에게 재킷을 추천 해.","recommend:0.8237871753900927","product:재킷"
"롱","recommend:1","neat_style:롱니트,skirt_length:라지,length:롱"
"간절기","recommend:0.5785647024320515","generic_timing_weather:간절기,season:봄"
"매그제이","recommend:0.9570731556295697","brand:매그제이"
,"",""
"나에게 재킷을 추천 해.","recommend:0.8237871753900927","product:재킷"
,"",""
"나에게 스커트를 추천 해.","generic_trend_recommend:0.326948084510684","product:스커트"
"나에게 스커트를 추천 해.","generic_trend_recommend:0.326948084510684","product:스커트"
,"",""
,"",""
"나에게 바지를 추천 해.","generic_trend_recommend:0.35534220960187085","product:팬츠"
"나를 바지로 추천하다.","recommend:0.5522098406132587","product:팬츠"
"아뇨","recommend:0.8085343536698113","user_answer:아니"
"바지 있니?","recommend:0.6819480939554915","product:팬츠"
"스커트는?","recommend:0.8489945056767996","product:스커트"
"스커트","recommend:1","product:스커트"
"바지 추천해줘","recommend:1","product:팬츠"
,"",""
"바지 있니?","recommend:0.6889242129025581","product:팬츠"
"스커트는?","recommend:0.8489945056767996","product:스커트"
"아니오","recommend:0.8102937582282954","user_answer:아니"
"아뇨","recommend:0.8102937582282954","user_answer:아니"
"안녕","greeting:1",""
"니트 추천해줘","recommend:0.9797548320268216","onepiece_style:니트,coat_style:니트,product:니트"
"체리코코 찾는데","recommend:0.990419735851991","brand:체리코코"
"노란색","recommend:1","generic_color:노란색"
"봄","recommend:0.9682198845093228","season:봄"
"숏","recommend:0.454274317926771","skirt_length:숏,length:숏,length:미니"
"네","recommend:0.7380186489316093","user_answer:응"
"안녕","greeting:1",""
"재킷 추천해줘","recommend:0.990169973690737","product:재킷"
"안녕","greeting:1",""
"아니오","recommend:0.8102937582282954","user_answer:아니"
"아니오","recommend:0.8102937582282954","user_answer:아니"
"안녕","greeting:1",""
"자켓","recommend:0.7132708281107945","product:재킷"
,"",""
"자켓 추천해줘","recommend:0.9783508587794811","product:재킷"
,"",""
"재킷 추천해줘","recommend:0.9906528683811938","product:jacket"
"안녕","greeting:1",""
,"",""
"자켓 추천해줘","recommend:0.9789460473196728","product:jacket"
"안녕","greeting:1",""
"아니오","recommend:0.8070622529501192","user_answer:아니"
"아니오","recommend:0.8070622529501192","user_answer:아니"
"점퍼 추천해줘","recommend:0.9587450021070009","pants_style:졈퍼바지,product:점퍼"
"매그제이","recommend:0.9549923119497059","brand:매그제이"
"블랙","recommend:0.7904756390217148","generic_color:검정"
,"",""
"점퍼","recommend:0.5459278582139403","product:점퍼"
"매그제이","recommend:0.9556173844683519","brand:매그제이"
"국방색","recommend:0.7772301954520147",""
"그린","recommend:0.8058412596949508","generic_color:녹색"
"봄","recommend:0.9670331235160994","season:봄"
"중간 길이","recommend:0.8651602890157403","skirt_length:미디엄,length:미디엄"
"밀리터리","recommend:0.8058412596949508",""
"카라자켓","recommend:0.8058412596949508",""
"정장자켓","recommend:0.8058412596949508","pants_style:정장바지,onepiece_style:정장원피스,product:jacket"
"네","recommend:0.73028609931761","user_answer:응"
,"",""
"그린색 간절기 자켓 추천해줘","recommend:0.9161932878124842","generic_timing_weather:간절기,season:봄,generic_color:녹색,product:jacket"
"안녕","greeting:1",""
"아니오","recommend:0.8058412596949508","user_answer:아니"
"아니오","recommend:0.8058412596949508","user_answer:아니"
"그린색 겨울용 긴 트위드 자켓","recommend:0.4457054093991182","generic_color:녹색,season:겨울,length:롱,jacket_style:트위드,onepiece_style:트위드,product:jacket"
"안녕","greeting:1",""
"아니오","recommend:0.8058412596949508","user_answer:아니"
"아니오","recommend:0.8058412596949508","user_answer:아니"
"매그제이에서 그랜식 겨울용 긴 트위드 자켓 추천해줘","recommend:0.4947424255359327","brand:매그제이,season:겨울,length:롱,jacket_style:트위드,onepiece_style:트위드,product:jacket"
"그린색","recommend:0.7772301954520147","generic_color:녹색"
"네","recommend:0.7291918661524251","user_answer:응"
"매그제이에서 그린색 겨울용 긴 트위드 자켓 추천해줘","generic_location_recommend:0.4913296538562939","brand:매그제이,generic_color:녹색,season:겨울,length:롱,jacket_style:트위드,onepiece_style:트위드,product:jacket"
,"",""
"매그제이에서 그린색 겨울용 긴 트위드 자켓 추천해줘","generic_location_recommend:0.4913296538562939","brand:매그제이,generic_color:녹색,season:겨울,length:롱,jacket_style:트위드,onepiece_style:트위드,product:jacket"
"매그제이에서 그린색 겨울용 긴 트위드 자켓 추천해","generic_location_recommend:0.6144388825413036","brand:매그제이,generic_color:녹색,season:겨울,length:롱,jacket_style:트위드,onepiece_style:트위드,product:jacket"
"매그제이에서 그린색 겨울용 긴 트위드 자켓","generic_location_recommend:0.4802349161905123","brand:매그제이,generic_color:녹색,season:겨울,length:롱,jacket_style:트위드,onepiece_style:트위드,product:jacket"
,"",""
"매그제이에서 그린색 겨울용 긴 트위드 자켓 추천해줘","generic_location_recommend:0.4913296538562939","brand:매그제이,generic_color:녹색,season:겨울,length:롱,jacket_style:트위드,onepiece_style:트위드,product:jacket"
"매그제이에서 그린색 겨울용 긴 트위드 자켓 추천해줘","generic_location_recommend:0.4913296538562939","brand:매그제이,generic_color:녹색,season:겨울,length:롱,jacket_style:트위드,onepiece_style:트위드,product:jacket"
"매그제이에서 그린색 겨울용 긴 트위드 자켓 추천해줘","generic_location_recommend:0.4913296538562939","brand:매그제이,generic_color:녹색,season:겨울,length:롱,jacket_style:트위드,onepiece_style:트위드,product:jacket"
"매그제이에서 그린색 겨울용 긴 트위드 자켓 추천해줘","generic_location_recommend:0.4913296538562939","brand:매그제이,generic_color:녹색,season:겨울,length:롱,jacket_style:트위드,onepiece_style:트위드,product:jacket"
"안녕","greeting:1",""
"매그제이에서 바지 추천해줘","recommend:0.7672729893450543","brand:매그제이,product:팬츠"
"겨울용 파랑색 7부 바지","recommend:0.9916331987269714","length:7부,season:겨울,generic_color:파란색,product:팬츠"
"스키니","recommend:0.7855652638550988","pants_style:스키니,leather_pants_style:스키니"
"네","recommend:0.7291918661524251","user_answer:응"
"안녕","greeting:1",""
"블랫 쉬폰 원피스 추천해줘","recommend:0.9290561994982889","onepiece_style:쉬폰,basic_attribute:쉬폰,blouse_style:쉬폰,product:원피스"
"매그제이 블랙 긴 원피스","recommend:0.8423565017102469","brand:매그제이,generic_color:검정,length:롱,product:원피스"
"봄","recommend:0.9674059423471864","season:봄"
"네","recommend:0.7297307635753747","user_answer:응"
"안녕","greeting:1",""
"스커트","recommend:1","product:스커트"
"안녕","greeting:1",""
"봄용 블랙 사틴 스커트","recommend:0.9162275562532148","season:봄,generic_color:검정,product:스커트"
,"",""
"올 봄에는 어떤 스타일이 유행하나요?","generic_trend_recommend:0.9941126674059922","season:봄"
"30대 중반 직장인 스커트 추천","generic_location_recommend:0.7377253842984998","product:스커트"
"무지원피스","recommend:0.7945085173589455",""
"무지 원피스","recommend:0.6470600381652764","tshirt_style:무지티,product:원피스"
"단정한 원피스","recommend:0.9224469568623256","product:원피스"
"무릎길이 원피스","recommend:0.8831484476333371","skirt_length:미디엄,product:원피스"
"베이지","recommend:0.6016338619693489","generic_color:스킨톤"
"봄","recommend:0.9672878530062695","season:봄"
"직장용","recommend:0.8055901741872736",""
"h라인 원피스","recommend:0.6668703095041922","leather_skirt_style:H라인,skirt_style:H라인,brand:라인,product:원피스"
"별로","recommend:0.95301327040797",""
"그냥 회사에서 입을 원피스 찾아요","generic_location_recommend:0.9992569900098223","product:원피스"
"베이지색 무름길이 무지 원피스 ","recommend:0.37472907676203226","generic_color:스킨톤,tshirt_style:무지티,product:원피스"
"봄에 입을 베이지색 무릎 길이 무지 원피스","recommend:0.5191666467138899","season:봄,generic_color:스킨톤,skirt_length:미디엄,tshirt_style:무지티,product:원피스"
"매그제이","recommend:0.9517734103935922","brand:매그제이"
"아니 아니 아니","recommend:0.8055901741872736","user_answer:아니,user_answer:아니,user_answer:아니"
"안녕","greeting:1",""
"자켓","recommend:0.714248321506899","product:jacket"
"안녕","greeting:1",""
"바지 추천해줘","recommend:1","product:팬츠"
,"",""
"안녕","greeting:1",""
"아니","recommend:0.7976246931009378","user_answer:아니"
"아니","recommend:0.7976246931009378","user_answer:아니"
"안녕","greeting:1",""
"스커트 추천해줘","recommend:1","product:스커트"
"아니","recommend:0.7976246931009378","user_answer:아니"
"스터트","recommend:0.7976246931009378",""
"안녕","greeting:1",""
"스커트 추천해줘","recommend:1","product:스커트"
"안녕","greeting:1",""
"스커트 추천해줘","recommend:1","product:스커트"
"매그제이","recommend:0.9546220819325761","brand:매그제이"
"브라운","recommend:0.8749631142300093","generic_color:갈색"
"미디엄","recommend:0.8061735370808681","skirt_length:미디엄,length:미디엄"
"봄","recommend:0.9716427318980523","season:봄"
"아니","recommend:0.8061735370808681","user_answer:아니"
"아니","recommend:0.8061735370808681","user_answer:아니"
,"",""
"안녕","greeting:1",""
"안녕","greeting:1",""
"안녕","greeting:1",""
"스커트","recommend:1","product:스커트"
"안녕","greeting:1",""
"스커트 추천해줘","recommend:1","product:스커트"
"매그제이","recommend:0.9516733359891589","brand:매그제이"
"검정","recommend:0.4822643000525299","generic_color:검정"
"안녕","greeting:1",""
"스커트","recommend:1","product:스커트"
"숏","recommend:0.4225174831396331","length:숏,skirt_length:숏,length:미니"
"안녕","greeting:1",""
"봄","recommend:0.9707070699264098","season:봄"
"스커트 추천해줘","recommend:1","product:스커트"
"에이치라인","recommend:0.702201718605345","leather_skirt_style:H라인,skirt_style:H라인,brand:라인"
"네","recommend:0.7213518506622439","user_answer:응"
"안녕","greeting:1",""
"스커트 추천해주세요","recommend:1","product:스커트"
"A라인","recommend:0.5390157544519785","leather_skirt_style:A라인,basic_attribute:A라인,skirt_style:A라인,brand:라인"
"블루","recommend:0.796806690378669","generic_color:파란색"
"긴거","recommend:0.8001528957399391","length:롱"
"롱","recommend:1","neat_style:롱니트,length:롱,skirt_length:라지"
"여름요","recommend:0.964426937841014","season:여름"
"아니요","recommend:0.9102301939724432","user_answer:아니"
"안녕","greeting:1",""
"스커트","recommend:1","product:스커트"
"매그제이","recommend:0.9516733359891589","brand:매그제이"
"블루","recommend:0.796806690378669","generic_color:파란색"
"미니","recommend:1","length:미니,skirt_length:숏"
"여름","recommend:1","season:여름"
"에이치라인","recommend:0.702201718605345","leather_skirt_style:H라인,skirt_style:H라인,brand:라인"
"아뇨","recommend:0.7976246931009378","user_answer:아니"
"매그제이 미니 스커트 추천해줘","recommend:0.9989928331926539","brand:매그제이,length:미니,skirt_length:숏,product:스커트"
"여름에 입을 검은색 스커트","recommend:0.5732934427369014","season:여름,product:스커트"
"검정색","recommend:0.29485209986802374",""
"검정","recommend:0.4822643000525299","generic_color:검정"
"펜슬","recommend:0.8345849662637442","leather_skirt_style:펜슬,skirt_style:펜슬"
"네","recommend:0.7213518506622439","user_answer:응"
"안녕하세요","greeting:1",""
"여름용 검정 베네통 펜슬 스커트 긴거 추천해줘","recommend:0.9641898740769034","brand:베네통,skirt_style:펜슬,season:여름,generic_color:검정,user_answer:응,leather_skirt_style:펜슬,product:스커트,length:롱"
"안녕","greeting:1",""
"처음","start:1",""
"종아리가 아파요.","recommend:0.9329194891200735",""
"바지","recommend:1","product:팬츠"
"가디건 추천","recommend:0.9893902216135174","product:가디건"
"네","recommend:0.7205955722039797","user_answer:응"
"버건디","recommend:0.8026045553399668",""
"와인색","recommend:0.7990002430037666",""
"아니오","recommend:0.7990002430037666","user_answer:아니"
"진짜 심히 먹통입니다.","chit_chat_sorry:0.5399239136005313",""
"","",""
"검정 스커트 추천해줘","recommend:0.9484067000051825","generic_color:검정,product:스커트"
"아뇨","recommend:0.7990002430037666","user_answer:아니"
"아니요","recommend:0.9099684048113149","user_answer:아니"
"안녕","greeting:1",""
"요즘 유행하는 스커트 추천해줘","generic_trend_recommend:0.9998942419805198","product:스커트"
"스커트 추천해줘","recommend:1","product:스커트"
"검정 짧은 치마","recommend:0.8228318795091452","generic_color:검정,length:미니,product:스커트"
"봄","recommend:0.9708793296381684","season:봄"
"네","recommend:0.7205955722039797","user_answer:응"
"펜슬","recommend:0.8354874774465371","leather_skirt_style:펜슬,skirt_style:펜슬"
"아뇨","recommend:0.7990002430037666","user_answer:아니"
"아뇨","recommend:0.7990002430037666","user_answer:아니"
"안녕","greeting:1",""
"스커트","recommend:1","product:스커트"
"네","recommend:0.7205955722039797","user_answer:응"
"파랑","recommend:1","generic_color:파란색"
"네","recommend:0.7205955722039797","user_answer:응"
"봄","recommend:0.9708793296381684","season:봄"
"네","recommend:0.7205955722039797","user_answer:응"
"긴거","recommend:0.8019261751494036","length:롱"
"네","recommend:0.7205955722039797","user_answer:응"
"펜슬","recommend:0.8354874774465371","leather_skirt_style:펜슬,skirt_style:펜슬"
"네","recommend:0.7205955722039797","user_answer:응"
"매그제이","recommend:0.9500669779643465","brand:매그제이"
"아뇨","recommend:0.7990002430037666","user_answer:아니"
"안녕","greeting:1",""
"스커트","recommend:1","product:스커트"
"처음","start:1",""
"바지","recommend:1","product:팬츠"
"네","recommend:0.7205955722039797","user_answer:응"
"파랑","recommend:1","generic_color:파란색"
"안녕","greeting:1",""
"아니오","recommend:0.7990002430037666","user_answer:아니"
"아녀","recommend:0.7990002430037666",""
"안녕","greeting:1",""
"스커트 추천해줘요","recommend:1","product:스커트"
"네","recommend:0.7205955722039797","user_answer:응"
"검정","recommend:0.5040894692633178","generic_color:검정"
"아뇨","recommend:0.7990002430037666","user_answer:아니"
"안녕","greeting:1",""
"처음","start:1",""
"빨간색 원피스를 추천해줘","recommend:0.9132667778870613","generic_color:빨강,product:원피스"
"매그제이","recommend:0.9513427955604771","brand:매그제이"
"아니","recommend:0.7945567424201145","user_answer:아니"
"네","recommend:0.7185001227720681","user_answer:응"
"스커트 추천해줘","recommend:1","product:스커트"
"하이","greeting:1",""
"남색 스커트","recommend:0.995546630439371","product:스커트"
"검정원피스 추천좀","recommend:0.997184466678693","generic_color:검정,product:원피스"
"네이비","recommend:0.5566047615886931",""
"검정","recommend:0.5331483330428847","generic_color:검정"
"봄이요","recommend:0.9702607591175955","season:봄"
"브랜드는 모르겟고 컬러는 검정이고 또뭐잇지 헤이치라인 일자로 떨어지는거","generic_trend_recommend:0.7933342448756364","generic_color:검정,brand:라인"
"봄 코트안에껴입을라고","recommend:0.9879460245984122","season:봄"
"얘기햇자나 길이는 미디","recommend:0.5307396701781999","skirt_length:미디엄"
"일자 핏","recommend:0.9845072146798091",""
"추첨","recommend:0.7945567424201145",""
"추천","recommend:0.9784066665480327",""
"웡피스","recommend:0.7945567424201145",""
"원피스","recommend:1","product:원피스"
"안녕","greeting:1",""
"치마좀 추천해줘","recommend:0.9930895169458666","product:스커트"
"주름","recommend:0.9122400568572689","skirt_style:주름치마"
"빨간색","recommend:1","generic_color:빨강"
"레드","recommend:0.7945567424201145",""
"숏","recommend:0.42192773785714033","length:숏,length:미니,skirt_length:숏"
"빨간색","recommend:1","generic_color:빨강"
"여름","recommend:1","season:여름"
"아니","recommend:0.7945567424201145","user_answer:아니"
"미디엄","recommend:0.7945567424201145","length:미디엄,skirt_length:미디엄"
"에이라인","recommend:0.7953276512368708","basic_attribute:A라인,brand:라인"
"그대로 추천해줘","recommend:0.9836390856899071",""
"아니","recommend:0.7945567424201145","user_answer:아니"
"안녕","greeting:1",""
"플라워프린트","recommend:0.9489729101073782",""
"배고파","recommend:0.7945567424201145",""
"원피스 살래","recommend:0.5589849622610434","product:원피스"
"검정","recommend:0.5331483330428847","generic_color:검정"
"빨간색","recommend:1","generic_color:빨강"
"바지","recommend:1","product:팬츠"
"짧은","recommend:0.8723741209138304","length:미니"
"블루","recommend:0.7953189730279481","generic_color:파란색"
"봄","recommend:0.9702607591175955","season:봄"
"넹","recommend:0.7945567424201145",""
"네","recommend:0.7185001227720681","user_answer:응"
"라인","recommend:0.696879456885999","brand:라인"
"긴거","recommend:0.7975494718505257","length:롱"
"아니","recommend:0.7945567424201145","user_answer:아니"
"바지 추천해줘","recommend:1","product:팬츠"
"라인","recommend:0.696879456885999","brand:라인"
"짧은거","recommend:0.9009521509549436","skirt_length:숏,length:미니"
"빨간색","recommend:1","generic_color:빨강"
"봄","recommend:0.9702607591175955","season:봄"
"짧은","recommend:0.8723741209138304","length:미니"
"아뇨","recommend:0.7945567424201145","user_answer:아니"
"재질","recommend:0.9419239168137866",""
"안녕","greeting:1",""
"이번주말 결혼식이 있는데","generic_location_recommend:0.436553397938625","location_attribute:웨딩"
"어울릴만한 코디 추천할수 있니","generic_match_recommend:0.5176247656770995",""
"어떤 브랜드가 가장 인기있니","generic_trend_recommend:0.972660881369645",""
"영캐주얼 어느 브랜드가 인기 있어?","query_product:0.7396189062543607",""
"원피스는 어디가 이뻐?","recommend:0.3476951062787812","product:원피스"
"브랜드 추천해줄 수 있니?","recommend:0.538771358922959",""
"세일 하는 브랜드가 있니?","query_product:0.46017705672980463",""
"쥬크 원피스 가격대가 어떻게 되니?","query_product:0.8562417326056371","brand:쥬크,product:원피스"
"쥬크 블랙 원피스 종류를 알고싶어","recommend:0.9895958924610063","brand:쥬크,generic_color:검정,product:원피스"
"쥬크 블랙 여름 쉬폰원피스","recommend:0.9042084926139201","brand:쥬크,generic_color:검정,season:여름"
"짧은 원피스","recommend:0.6999360941219595","length:미니,product:원피스"
"여기에 어울리는 구두가 있을까?","generic_match_recommend:0.7483116805033282",""
"소다 여자 구두 얼마야?","query_product:0.9490610507332757",""
"처음","start:1",""
"처음","start:1",""
"바지","recommend:1","product:팬츠"
"배고파요","recommend:0.9094756916479378",""
"바지 추천해줘","recommend:1","product:팬츠"
"라인","recommend:0.696879456885999","brand:라인"
"블루","recommend:0.7953189730279481","generic_color:파란색"
"아니오","recommend:0.7945567424201145","user_answer:아니"
"처음","start:1",""
"바지추천","recommend:1","product:팬츠"
"블루","recommend:0.7953189730279481","generic_color:파란색"
"봄","recommend:0.9702607591175955","season:봄"
"배고파","recommend:0.7945567424201145",""
"라인","recommend:0.696879456885999","brand:라인"
"아니오","recommend:0.7945567424201145","user_answer:아니"
"네","recommend:0.7185001227720681","user_answer:응"
"처음","start:1",""
"바지","recommend:1","product:팬츠"
"처음","start:1",""
"안녕","greeting:1",""
"여름에 입을 스커트 추천해주세요","recommend:0.6256652646247903","season:여름,product:스커트"
"매그제이 상품 있을까요?","recommend:0.9711662238599083","brand:매그제이"
"파랑색이죠","recommend:0.9541629987368799","generic_color:파란색"
"봄 상품 원해요","recommend:0.9867716412148053","season:봄"
"긴거","recommend:0.7975494718505257","length:롱"
"네","recommend:0.7185001227720681","user_answer:응"
"처음","start:1",""
"검정 바지 추천해줘","recommend:0.9308530514786959","generic_color:검정,product:팬츠"
"베네통이면 좋겠는데","recommend:0.9720910521988606","brand:베네통,user_answer:응"
"봄에 입을꺼","recommend:0.9785012883605075","season:봄"
"짧은 바지","recommend:0.7991765000990466","length:미니,product:팬츠"
"아뇨","recommend:0.7945567424201145","user_answer:아니"
"베네통","recommend:0.7977978346326177","brand:베네통,user_answer:응"
"처음","start:1",""
"매장 안내 부탁해요","store_query:0.6798873720303968",""
"처음","start:1",""
"스커트 추천해줘","recommend:1","product:스커트"
"매그제이꺼","recommend:0.9184750189719145",""
"매그제이","recommend:0.9513427955604771","brand:매그제이"
"핑크","greeting:0.21565139345949358","generic_color:분홍색"
"봄","recommend:0.9702607591175955","season:봄"
"짧은거","recommend:0.9009521509549436","skirt_length:숏,length:미니"
"펜슬?","recommend:0.7952233764165028","skirt_style:펜슬,leather_skirt_style:펜슬"
"매그제이 분홍색 펜슬 숏 봄 스커트 추천해줘","recommend:0.9996137457174384","brand:매그제이,generic_color:분홍색,skirt_style:펜슬,leather_skirt_style:펜슬,length:숏,length:미니,skirt_length:숏,season:봄,product:스커트"
"아뇨","recommend:0.7945567424201145","user_answer:아니"
"바지","recommend:1","product:팬츠"
"처음","start:1",""
"매그제이 분홍색 펜슬 숏 봄 스커트 추천해줘","recommend:0.9996137457174384","brand:매그제이,generic_color:분홍색,skirt_style:펜슬,leather_skirt_style:펜슬,length:숏,length:미니,skirt_length:숏,season:봄,product:스커트"
"안녕","greeting:1",""
"배고파","recommend:0.784534650312534",""
"배고파","recommend:0.784534650312534",""
"배고파","recommend:0.784534650312534",""
"배고파","recommend:0.784534650312534",""
"안녕","greeting:1",""
"배고파요","recommend:0.939867878604172",""
"안녕","greeting:1",""
"배고파요","recommend:0.939867878604172",""
"배고처요","recommend:0.939867878604172",""
"배아차요","recommend:0.939867878604172",""
"검은색 바지 추천해줘","recommend:0.9424287557133002","generic_color:검정,product:팬츠"
"스키니","recommend:0.7908695864524434","leather_pants_style:스키니,pants_style:스키니"
"봄","recommend:0.9704039381637942","season:봄"
"아니","recommend:0.8066274794506162","user_answer:아니"
"아니","recommend:0.8066274794506162","user_answer:아니"
"네","recommend:0.720890249333368","user_answer:응"
"네","recommend:0.720890249333368","user_answer:응"
"노란 재킷 보여줘","recommend:0.9879290781768131","generic_color:노란색,product:재킷"
"네","recommend:0.720890249333368","user_answer:응"
"아니","recommend:0.8066274794506162","user_answer:아니"
"처음","start:1",""
"봄 매그제이 분홍 봄 스커트 추천","recommend:0.9998860496033117","brand:매그제이,season:봄,generic_color:분홍색,season:봄,product:스커트"
"숏","recommend:0.4293870038144461","length:숏,length:미니,skirt_length:숏"
"에이치라인","recommend:0.7223821988844499","skirt_style:H라인,leather_skirt_style:H라인,brand:라인"
"안녕하세요","greeting:1",""
"👋","recommend:0.8066274794506162",""
"치마 살래","recommend:0.7666537694905572","product:스커트"
"처음","start:1",""
"배고파","recommend:0.8066274794506162",""
"어쩔","recommend:0.8066274794506162",""
"티셔츠","recommend:0.5911000544284642","product:티셔츠"
"베네통 티셔츠","recommend:0.5994154779724074","brand:베네통,user_answer:응,product:티셔츠"
"안녕","greeting:1",""
"처음","start:1",""
"직장용 슬랙스 추천해주세요","recommend:0.9814575067756139",""
"안녕","greeting:1",""
"무릎까지 오는 펜슬스커트 추천해주세요","recommend:0.9995954889240136","skirt_style:펜슬,skirt_length:미디엄,leather_skirt_style:펜슬,product:스커트"
"웅 우선 보여주세요","recommend:0.9492995396173051",""
"우선 보여주세요","recommend:0.9492995396173051",""
"네","recommend:0.7163387421997371","user_answer:응"
"처음","start:1",""
